姓名,組織,性別,手機,上線夥伴,葷素,課程座位,吃飯座位,房間,分組活動
陳宜君,組織A,女,910123456,李美華,葷,,,,
林建宏,組織A,男,911123457,張志強,葷,,,,
王雅婷,組織A,女,912123458,陳淑芬,葷,,,,
張偉成,組織A,男,913123459,劉德華,素,,,,
李秀英,組織A,女,914123460,林志玲,葷,,,,
劉宗翰,組織A,男,915123461,王力宏,葷,,,,
吳佩珊,組織A,女,916123462,蔡依林,葷,,,,
黃振宇,組織A,男,917123463,周杰倫,葷,,,,
楊佳蓉,組織A,女,918123464,林俊傑,素,,,,
許文斌,組織A,男,919123465,張學友,葷,,,,
何美惠,組織A,女,920123466,郭富城,葷,,,,
謝宗穎,組織A,男,921123467,劉德華,葷,,,,
葉麗華,組織A,女,922123468,張志強,葷,,,,
徐志明,組織A,男,923123469,陳淑芬,葷,,,,
鄭雅文,組織A,女,924123470,李美華,葷,,,,
蔡政翰,組織A,男,925123471,王力宏,素,,,,
歐陽秀蓮,組織A,女,926123472,林志玲,葷,,,,
潘孟哲,組織A,男,927123473,蔡依林,葷,,,,
游雅琪,組織A,女,928123474,周杰倫,葷,,,,
曹建國,組織A,男,929123475,林俊傑,葷,,,,
戴麗卿,組織A,女,930123476,張學友,葷,,,,
廖家豪,組織A,男,931123477,郭富城,素,,,,
蕭淑珍,組織A,女,932123478,劉德華,葷,,,,
賴志偉,組織A,男,933123479,張志強,葷,,,,
洪雅雯,組織A,女,934123480,陳淑芬,葷,,,,
楊國偉,組織A,男,935123481,李美華,葷,,,,
邱美玲,組織A,女,936123482,王力宏,葷,,,,
羅世昌,組織A,男,937123483,林志玲,素,,,,
蘇怡君,組織A,女,938123484,蔡依林,葷,,,,
范國華,組織A,男,939123485,周杰倫,葷,,,,
趙婉如,組織A,女,940123486,林俊傑,葷,,,,
錢志鵬,組織A,男,941123487,張學友,葷,,,,
孫秀蘭,組織A,女,942123488,郭富城,葷,,,,
周大偉,組織A,男,943123489,劉德華,素,,,,
吳佳芳,組織A,女,944123490,張志強,葷,,,,
鄭明宏,組織A,男,945123491,陳淑芬,葷,,,,
王麗雲,組織A,女,946123492,李美華,葷,,,,
陳俊傑,組織A,男,947123493,王力宏,葷,,,,
林怡婷,組織A,女,948123494,林志玲,葷,,,,
張國隆,組織A,男,949123495,蔡依林,素,,,,
李素卿,組織A,女,950123496,周杰倫,葷,,,,
劉正義,組織A,男,951123497,林俊傑,葷,,,,
吳婉君,組織A,女,952123498,張學友,葷,,,,
黃建中,組織A,男,953123499,郭富城,葷,,,,
楊淑霞,組織A,女,954123500,劉德華,葷,,,,
許國賓,組織A,男,955123501,張志強,素,,,,
何雅芳,組織A,女,956123502,陳淑芬,葷,,,,
謝明德,組織A,男,957123503,李美華,葷,,,,
葉婉如,組織A,女,958123504,王力宏,葷,,,,
徐志強,組織A,男,959123505,林志玲,葷,,,,
鄭小玲,組織A,女,960123506,蔡依林,葷,,,,
蔡宗翰,組織A,男,961123507,周杰倫,素,,,,
歐陽麗華,組織A,女,962123508,林俊傑,葷,,,,
潘志偉,組織A,男,963123509,張學友,葷,,,,
游美華,組織A,女,964123510,郭富城,葷,,,,
曹志豪,組織A,男,965123511,劉德華,葷,,,,
戴淑慧,組織A,女,966123512,張志強,葷,,,,
廖正雄,組織A,男,967123513,陳淑芬,素,,,,
蕭雅文,組織A,女,968123514,李美華,葷,,,,
賴家豪,組織A,男,969123515,王力宏,葷,,,,
洪秀珍,組織A,女,970123516,林志玲,葷,,,,
楊明宗,組織A,男,971123517,蔡依林,葷,,,,
邱怡君,組織A,女,972123518,周杰倫,葷,,,,
羅大為,組織A,男,973123519,林俊傑,素,,,,
蘇美玲,組織A,女,974123520,張學友,葷,,,,
范國棟,組織A,男,975123521,郭富城,葷,,,,
趙麗卿,組織A,女,976123522,劉德華,葷,,,,
錢政翰,組織A,男,977123523,張志強,葷,,,,
孫秀蓮,組織A,女,978123524,陳淑芬,葷,,,,
周國雄,組織A,男,979123525,李美華,素,,,,
吳佳琪,組織A,女,980123526,王力宏,葷,,,,
鄭明哲,組織A,男,981123527,林志玲,葷,,,,
王麗華,組織A,女,982123528,蔡依林,葷,,,,
陳俊彥,組織A,男,983123529,周杰倫,葷,,,,
林怡如,組織A,女,984123530,林俊傑,葷,,,,
張國華,組織A,男,985123531,張學友,素,,,,
李素蘭,組織A,女,986123532,郭富城,葷,,,,
劉正峰,組織A,男,987123533,劉德華,葷,,,,
吳美智,組織A,女,988123534,張志強,葷,,,,
黃建華,組織A,男,989123535,陳淑芬,葷,,,,
楊雅惠,組織A,女,990123536,李美華,葷,,,,
許國隆,組織A,男,991123537,王力宏,素,,,,
何雅玲,組織A,女,992123538,林志玲,葷,,,,
謝文彬,組織A,男,993123539,蔡依林,葷,,,,
葉美雲,組織A,女,994123540,周杰倫,葷,,,,
徐志華,組織A,男,995123541,林俊傑,葷,,,,
鄭麗君,組織A,女,996123542,張學友,葷,,,,
蔡宗霖,組織A,男,997123543,郭富城,素,,,,
歐陽麗美,組織A,女,998123544,劉德華,葷,,,,
潘正義,組織A,男,999123545,張志強,葷,,,,
游美惠,組織A,女,900123546,陳淑芬,葷,,,,
曹志明,組織A,男,901123547,李美華,葷,,,,
戴淑娟,組織A,女,902123548,王力宏,葷,,,,
廖家華,組織A,男,903123549,林志玲,素,,,,
蕭雅惠,組織A,女,904123550,蔡依林,葷,,,,
賴宏達,組織A,男,905123551,周杰倫,葷,,,,
洪秀英,組織A,女,906123552,林俊傑,葷,,,,
楊明道,組織A,男,907123553,張學友,葷,,,,
邱怡琳,組織A,女,908123554,郭富城,葷,,,,
羅文政,組織A,男,909123555,劉德華,素,,,,
李美華,組織B,女,911123001,陳宜君,葷,,,,
張志強,組織B,男,911123002,林建宏,葷,,,,
陳淑芬,組織B,女,911123003,王雅婷,葷,,,,
劉德華,組織B,男,911123004,張偉成,素,,,,
林志玲,組織B,女,911123005,李秀英,葷,,,,
王力宏,組織B,男,911123006,劉宗翰,葷,,,,
蔡依林,組織B,女,911123007,吳佩珊,葷,,,,
周杰倫,組織B,男,911123008,黃振宇,葷,,,,
林俊傑,組織B,男,911123009,楊佳蓉,素,,,,
張學友,組織B,男,911123010,許文斌,葷,,,,
郭富城,組織B,男,911123011,何美惠,葷,,,,
伍佰,組織B,男,911123012,謝宗穎,葷,,,,
張惠妹,組織B,女,911123013,葉麗華,葷,,,,
江蕙,組織B,女,911123014,徐志明,素,,,,
五月天,組織B,男,911123015,鄭雅文,葷,,,,
蔡琴,組織B,女,911123016,蔡政翰,葷,,,,
費玉清,組織B,男,911123017,歐陽秀蓮,葷,,,,
鄧麗君,組織B,女,911123018,潘孟哲,葷,,,,
羅大佑,組織B,男,911123019,游雅琪,素,,,,
李宗盛,組織B,男,911123020,曹建國,葷,,,,
陳昇,組織B,男,911123021,戴麗卿,葷,,,,
黃小琥,組織B,女,911123022,廖家豪,葷,,,,
A-Lin,組織B,女,911123023,蕭淑珍,葷,,,,
蕭敬騰,組織B,男,911123024,賴志偉,素,,,,
楊丞琳,組織B,女,911123025,洪雅雯,葷,,,,
王心凌,組織B,女,911123026,楊國偉,葷,,,,
周興哲,組織B,男,911123027,邱美玲,葷,,,,
林宥嘉,組織B,男,911123028,羅世昌,葷,,,,
田馥甄,組織B,女,911123029,蘇怡君,素,,,,
陳綺貞,組織B,女,911123030,范國華,葷,,,,
盧廣仲,組織B,男,911123031,趙婉如,葷,,,,
魏如萱,組織B,女,911123032,錢志鵬,葷,,,,
蛋堡,組織B,男,911123033,孫秀蘭,葷,,,,
蔡健雅,組織B,女,911123034,周大偉,葷,,,,
孫燕姿,組織B,女,911123035,吳佳芳,素,,,,
梁靜茹,組織B,女,911123036,鄭明宏,葷,,,,
林憶蓮,組織B,女,911123037,王麗雲,葷,,,,
王菲,組織B,女,911123038,陳俊傑,葷,,,,
那英,組織B,女,911123039,林怡婷,葷,,,,
張信哲,組織B,男,911123040,張國隆,葷,,,,
齊秦,組織B,男,911123041,李素卿,素,,,,
周華健,組織B,男,911123042,劉正義,葷,,,,
趙傳,組織B,男,911123043,吳婉君,葷,,,,
張雨生,組織B,男,911123044,黃建中,葷,,,,
鄭智化,組織B,男,911123045,楊淑霞,葷,,,,
陳水扁,組織B,男,911123046,許國賓,葷,,,,
馬英九,組織B,男,911123047,何雅芳,素,,,,
蔡英文,組織B,女,911123048,謝明德,葷,,,,
賴清德,組織B,男,911123049,葉婉如,葷,,,,
柯文哲,組織B,男,911123050,徐志強,葷,,,,
韓國瑜,組織B,男,911123051,鄭小玲,葷,,,,
侯友宜,組織B,男,911123052,蔡宗翰,葷,,,,
蔣萬安,組織B,男,911123053,歐陽麗華,素,,,,
黃偉哲,組織B,男,911123054,潘志偉,葷,,,,
盧秀燕,組織B,女,911123055,游美華,葷,,,,
陳其邁,組織B,男,911123056,曹志豪,葷,,,,
鄭文燦,組織B,男,911123057,戴淑慧,葷,,,,
林佳龍,組織B,男,911123058,廖正雄,葷,,,,
蕭美琴,組織B,女,911123059,蕭雅文,素,,,,
吳怡農,組織B,男,911123060,賴家豪,葷,,,,
陳時中,組織B,男,911123061,洪秀珍,葷,,,,
唐鳳,組織B,女,911123062,楊明宗,葷,,,,
蘇貞昌,組織B,男,911123063,邱怡君,葷,,,,
游錫堃,組織B,男,911123064,羅大為,葷,,,,
王金平,組織B,男,911123065,蘇美玲,素,,,,
朱立倫,組織B,男,911123066,范國棟,葷,,,,
洪秀柱,組織B,女,911123067,趙麗卿,葷,,,,
宋楚瑜,組織B,男,911123068,錢政翰,葷,,,,
連戰,組織B,男,911123069,孫秀蓮,葷,,,,
呂秀蓮,組織B,女,911123070,周國雄,葷,,,,
吳敦義,組織B,男,911123071,吳佳琪,素,,,,
謝長廷,組織B,男,911123072,鄭明哲,葷,,,,
陳建仁,組織B,男,911123073,王麗華,葷,,,,
張善政,組織B,男,911123074,陳俊彥,葷,,,,
毛治國,組織B,男,911123075,林怡如,葷,,,,
江宜樺,組織B,男,911123076,張國華,葷,,,,
陳冲,組織B,男,911123077,李素蘭,素,,,,
劉兆玄,組織B,男,911123078,劉正峰,葷,,,,
張俊雄,組織B,男,911123079,吳美智,葷,,,,
蘇嘉全,組織B,男,911123080,黃建華,葷,,,,
王建煊,組織B,男,911123081,楊雅惠,葷,,,,
姚嘉文,組織B,男,911123082,許國隆,葷,,,,
翁岳生,組織B,男,911123083,何雅玲,素,,,,
賴英照,組織B,男,911123084,謝文彬,葷,,,,
施啟揚,組織B,男,911123085,葉美雲,葷,,,,
林洋港,組織B,男,911123086,徐志華,葷,,,,
黃石城,組織B,男,911123087,鄭麗君,葷,,,,
許水德,組織B,男,911123088,蔡宗霖,葷,,,,
蘇南成,組織B,男,911123089,歐陽麗美,素,,,,
吳伯雄,組織B,男,911123090,潘正義,葷,,,,
林豐正,組織B,男,911123091,游美惠,葷,,,,
曾永權,組織B,男,911123092,曹志明,葷,,,,
詹春柏,組織B,男,911123093,戴淑娟,葷,,,,
廖了以,組織B,男,911123094,廖家華,葷,,,,
林中森,組織B,男,911123095,蕭雅惠,素,,,,
黃敏惠,組織B,女,911123096,賴宏達,葷,,,,
胡志強,組織B,男,911123097,洪秀英,葷,,,,
許添財,組織B,男,911123098,楊明道,葷,,,,
張博雅,組織B,女,911123099,邱怡琳,葷,,,,
陳菊,組織B,女,911123100,羅文政,葷,,,,
顏清標,組織B,男,911123101,王永慶,素,,,,
