姓名,性別,手機,上線夥伴,組織,葷素,工作人員
柯建銘,男,911123120,小C,組織B,素,
王定宇,男,922123001,小C,組織C,葷,
何欣純,女,922123002,小C,組織C,葷,場控
吳思瑤,女,922123003,小C,組織C,葷,
林俊憲,男,922123005,小C,組織C,葷,
黃國書,男,922123006,小C,組織C,葷,場控
陳亭妃,女,922123007,小C,組織C,素,
張廖萬堅,男,922123008,小C,組織C,葷,
莊競程,男,922123009,小C,組織C,葷,
何志偉,男,922123010,小C,組織C,葷,
吳琪銘,男,922123011,小C,組織C,葷,
趙天麟,男,922123012,小C,組織C,葷,
邱議瑩,女,922123013,小C,組織C,素,
管碧玲,女,922123014,小C,組織C,葷,
蘇巧慧,女,922123015,小C,組織C,葷,
蔡適應,男,922123016,小C,組織C,葷,
陳瑩,女,922123017,小C,組織C,葷,
鄭運鵬,男,922123018,小C,組織C,葷,
邱泰源,男,922123019,小C,組織C,素,
吳玉琴,女,922123020,小C,組織C,葷,
陳靜敏,女,922123021,小C,組織C,葷,
余宛如,女,922123022,小C,組織C,葷,
周春米,女,922123023,小C,組織C,葷,
鍾佳濱,男,922123024,小C,組織C,葷,
楊曜,男,922123025,小C,組織C,素,
劉建國,男,922123026,小C,組織C,葷,
蘇治芬,女,922123027,小C,組織C,葷,
陳秀寶,女,922123028,小C,組織C,葷,
蔡易餘,男,922123029,小C,組織C,葷,
王美惠,女,922123030,小C,組織C,葷,
賴惠員,女,922123031,小C,組織C,素,
郭國文,男,922123032,小C,組織C,葷,
林楚茵,女,922123033,大C,組織C,葷,
邱臣遠,男,922123034,大C,組織C,葷,
高嘉瑜,女,922123035,大C,組織C,葷,
賴品妤,女,922123036,大C,組織C,葷,
鄭正鈐,男,922123037,大C,組織C,素,
林奕華,女,922123038,大C,組織C,葷,
李德維,男,922123039,大C,組織C,葷,
吳斯懷,男,922123040,大C,組織C,葷,
游毓蘭,女,922123041,大C,組織C,葷,
陳椒華,女,922123042,大C,組織C,葷,
孔文吉,男,922123043,大C,組織C,素,
廖國棟,男,922123044,大C,組織C,葷,
傅崐萁,男,922123045,大C,組織C,葷,
林思銘,男,922123046,大C,組織C,葷,
徐志榮,男,922123047,大C,組織C,葷,
林為洲,男,922123048,大C,組織C,葷,
謝衣鳳,女,922123049,大C,組織C,素,
張育美,女,922123050,大C,組織C,葷,
許淑華,女,922123051,大C,組織C,葷,
溫玉霞,女,922123052,大C,組織C,葷,
