姓名,性別,手機,上線夥伴,組織,葷素,工作人員
陳宜君,女,910123456,羽晴,組織A,葷,
林建宏,男,911123457,羽晴,組織A,葷,
王雅婷,女,912123458,羽晴,組織A,葷,
張偉成,男,913123459,羽晴,組織A,素,
李秀英,女,914123460,羽晴,組織A,葷,
劉宗翰,男,915123461,羽晴,組織A,葷,
吳佩珊,女,916123462,羽晴,組織A,葷,
黃振宇,男,917123463,羽晴,組織A,葷,
楊佳蓉,女,918123464,羽晴,組織A,素,
許文斌,男,919123465,羽晴,組織A,葷,
何美惠,女,920123466,羽晴,組織A,葷,
謝宗穎,男,921123467,羽晴,組織A,葷,
葉麗華,女,922123468,羽晴,組織A,葷,
徐志明,男,923123469,羽晴,組織A,葷,
鄭雅文,女,924123470,羽晴,組織A,葷,
蔡政翰,男,925123471,羽晴,組織A,素,
歐陽秀蓮,女,926123472,羽晴,組織A,葷,
潘孟哲,男,927123473,羽晴,組織A,葷,
游雅琪,女,928123474,羽晴,組織A,葷,
曹建國,男,929123475,羽晴,組織A,葷,
戴麗卿,女,930123476,羽晴,組織A,葷,
廖家豪,男,931123477,羽晴,組織A,素,
蕭淑珍,女,932123478,羽晴,組織A,葷,
賴志偉,男,933123479,羽晴,組織A,葷,
洪雅雯,女,934123480,羽晴,組織A,葷,
楊國偉,男,935123481,羽晴,組織A,葷,
邱美玲,女,936123482,羽晴,組織A,葷,
羅世昌,男,937123483,羽晴,組織A,素,
蘇怡君,女,938123484,羽晴,組織A,葷,
范國華,男,939123485,羽晴,組織A,葷,
趙婉如,女,940123486,羽晴,組織A,葷,
錢志鵬,男,941123487,潔西卡,組織A,葷,
孫秀蘭,女,942123488,潔西卡,組織A,葷,
周大偉,男,943123489,潔西卡,組織A,素,
吳佳芳,女,944123490,潔西卡,組織A,葷,
鄭明宏,男,945123491,潔西卡,組織A,葷,
王麗雲,女,946123492,潔西卡,組織A,葷,
陳俊傑,男,947123493,潔西卡,組織A,葷,
林怡婷,女,948123494,潔西卡,組織A,葷,
張國隆,男,949123495,潔西卡,組織A,素,
李素卿,女,950123496,潔西卡,組織A,葷,
劉正義,男,951123497,潔西卡,組織A,葷,
吳婉君,女,952123498,潔西卡,組織A,葷,
黃建中,男,953123499,潔西卡,組織A,葷,
楊淑霞,女,954123500,潔西卡,組織A,葷,
許國賓,男,955123501,潔西卡,組織A,素,
何雅芳,女,956123502,潔西卡,組織A,葷,
謝明德,男,957123503,潔西卡,組織A,葷,
葉婉如,女,958123504,潔西卡,組織A,葷,
徐志強,男,959123505,潔西卡,組織A,葷,
鄭小玲,女,960123506,潔西卡,組織A,葷,
蔡宗翰,男,961123507,潔西卡,組織A,素,
歐陽麗華,女,962123508,潔西卡,組織A,葷,
潘志偉,男,963123509,潔西卡,組織A,葷,
游美華,女,964123510,潔西卡,組織A,葷,
曹志豪,男,965123511,潔西卡,組織A,葷,
戴淑慧,女,966123512,潔西卡,組織A,葷,
廖正雄,男,967123513,潔西卡,組織A,素,
蕭雅文,女,968123514,潔西卡,組織A,葷,
賴家豪,男,969123515,潔西卡,組織A,葷,
洪秀珍,女,970123516,潔西卡,組織A,葷,
楊明宗,男,971123517,潔西卡,組織A,葷,
邱怡君,女,972123518,潔西卡,組織A,葷,
羅大為,男,973123519,潔西卡,組織A,素,
蘇美玲,女,974123520,潔西卡,組織A,葷,
范國棟,男,975123521,潔西卡,組織A,葷,
趙麗卿,女,976123522,潔西卡,組織A,葷,
錢政翰,男,977123523,潔西卡,組織A,葷,
孫秀蓮,女,978123524,潔西卡,組織A,葷,
周國雄,男,979123525,潔西卡,組織A,素,
吳佳琪,女,980123526,潔西卡,組織A,葷,
鄭明哲,男,981123527,潔西卡,組織A,葷,
王麗華,女,982123528,潔西卡,組織A,葷,
陳俊彥,男,983123529,潔西卡,組織A,葷,
林怡如,女,984123530,潔西卡,組織A,葷,
張國華,男,985123531,潔西卡,組織A,素,
李素蘭,女,986123532,潔西卡,組織A,葷,
劉正峰,男,987123533,潔西卡,組織A,葷,報到組
吳美智,女,988123534,潔西卡,組織A,葷,報到組
黃建華,男,989123535,潔西卡,組織A,葷,報到組
楊雅惠,女,990123536,潔西卡,組織A,葷,報到組
許國隆,男,991123537,潔西卡,組織A,素,報到組
何雅玲,女,992123538,潔西卡,組織A,葷,報到組
謝文彬,男,993123539,勇哥,組織A,葷,報到組
葉美雲,女,994123540,勇哥,組織A,葷,報到組
徐志華,男,995123541,勇哥,組織A,葷,
鄭麗君,女,996123542,勇哥,組織A,葷,
蔡宗霖,男,997123543,勇哥,組織A,素,
歐陽麗美,女,998123544,勇哥,組織A,葷,講師:產品的優越性
潘正義,男,999123545,勇哥,組織A,葷,
游美惠,女,900123546,勇哥,組織A,葷,
曹志明,男,901123547,勇哥,組織A,葷,
戴淑娟,女,902123548,勇哥,組織A,葷,講師:零售與推薦
廖家華,男,903123549,勇哥,組織A,素,
蕭雅惠,女,904123550,勇哥,組織A,葷,
賴宏達,男,905123551,勇哥,組織A,葷,
洪秀英,女,906123552,勇哥,組織A,葷,
楊明道,男,907123553,勇哥,組織A,葷,
邱怡琳,女,908123554,勇哥,組織A,葷,
羅文政,男,909123555,勇哥,組織A,素,
