姓名,性別,手機,上線夥伴,組織,葷素,工作人員
李美華,女,911123001,雅惠,組織B,葷,
張志強,男,911123002,雅惠,組織B,葷,
陳淑芬,女,911123003,雅惠,組織B,葷,
劉德華,男,911123004,雅惠,組織B,素,
林志玲,女,911123005,雅惠,組織B,葷,
王力宏,男,911123006,雅惠,組織B,葷,
蔡依林,女,911123007,雅惠,組織B,葷,
周杰倫,男,911123008,雅惠,組織B,葷,
林俊傑,男,911123009,雅惠,組織B,素,報到組
張學友,男,911123010,雅惠,組織B,葷,報到組
郭富城,男,911123011,雅惠,組織B,葷,報到組
伍佰,男,911123012,雅惠,組織B,葷,報到組
張惠妹,女,911123013,雅惠,組織B,葷,報到組
江蕙,女,911123014,雅惠,組織B,素,報到組
五月天,男,911123015,雅惠,組織B,葷,報到組
蔡琴,女,911123016,雅惠,組織B,葷,報到組
費玉清,男,911123017,雅惠,組織B,葷,報到組
鄧麗君,女,911123018,雅惠,組織B,葷,報到組
羅大佑,男,911123019,雅惠,組織B,素,
李宗盛,男,911123020,雅惠,組織B,葷,
陳昇,男,911123021,雅惠,組織B,葷,
黃小琥,女,911123022,雅惠,組織B,葷,
A-Lin,女,911123023,雅惠,組織B,葷,
蕭敬騰,男,911123024,雅惠,組織B,素,
楊丞琳,女,911123025,雅惠,組織B,葷,
王心凌,女,911123026,雅惠,組織B,葷,
周興哲,男,911123027,雅惠,組織B,葷,講師:如何邁向珍珠
林宥嘉,男,911123028,雅惠,組織B,葷,
田馥甄,女,911123029,雅惠,組織B,素,
陳綺貞,女,911123030,雅惠,組織B,葷,
盧廣仲,男,911123031,雅惠,組織B,葷,
魏如萱,女,911123032,雅惠,組織B,葷,
蛋堡,男,911123033,雅惠,組織B,葷,
蔡健雅,女,911123034,雅惠,組織B,葷,
孫燕姿,女,911123035,雅惠,組織B,素,講師:夢想起飛
梁靜茹,女,911123036,雅惠,組織B,葷,
林憶蓮,女,911123037,雅惠,組織B,葷,
王菲,女,911123038,雅惠,組織B,葷,
那英,女,911123039,雅惠,組織B,葷,
張信哲,男,911123040,雅惠,組織B,葷,
齊秦,男,911123041,翡珊,組織B,素,講師:正確經營心態
周華健,男,911123042,翡珊,組織B,葷,
趙傳,男,911123043,翡珊,組織B,葷,講師:市場評估
張雨生,男,911123044,翡珊,組織B,葷,
鄭智化,男,911123045,翡珊,組織B,葷,
陳水扁,男,911123046,翡珊,組織B,葷,
馬英九,男,911123047,翡珊,組織B,素,
蔡英文,女,911123048,翡珊,組織B,葷,
賴清德,男,911123049,翡珊,組織B,葷,
柯文哲,男,911123050,翡珊,組織B,葷,晨操
韓國瑜,男,911123051,翡珊,組織B,葷,晨操
侯友宜,男,911123052,翡珊,組織B,葷,晨操
蔣萬安,男,911123053,翡珊,組織B,素,晨操
黃偉哲,男,911123054,翡珊,組織B,葷,晨操
盧秀燕,女,911123055,翡珊,組織B,葷,晨操
陳其邁,男,911123056,翡珊,組織B,葷,晨操
鄭文燦,男,911123057,翡珊,組織B,葷,晨操
林佳龍,男,911123058,翡珊,組織B,葷,晨操
蕭美琴,女,911123059,翡珊,組織B,素,晨操
吳怡農,男,911123060,翡珊,組織B,葷,晨操
陳時中,男,911123061,翡珊,組織B,葷,晨操
唐鳳,女,911123062,翡珊,組織B,葷,
蘇貞昌,男,911123063,翡珊,組織B,葷,
游錫堃,男,911123064,翡珊,組織B,葷,
王金平,男,911123065,翡珊,組織B,素,
朱立倫,男,911123066,翡珊,組織B,葷,
洪秀柱,女,911123067,翡珊,組織B,葷,
宋楚瑜,男,911123068,翡珊,組織B,葷,
